"","Topic","regione","n","region"
"354","Cloud Computing","Lazio",2,"LAZIO"
"355","Competenze Digitali","Lazio",5,"LAZIO"
"356","Cybersecurity","Lazio",4,"LAZIO"
"357","Data Analytics","Lazio",1,"LAZIO"
"358","Data Management","Lazio",1,"LAZIO"
"359","Data Science","Lazio",6,"LAZIO"
"360","Deep Learning","Lazio",0,"LAZIO"
"361","Digital Humanities","Lazio",0,"LAZIO"
"362","Digital Marketing","Lazio",1,"LAZIO"
"363","Digital Transformation","Lazio",1,"LAZIO"
"364","Diritto Della Proprietà Intellettuale","Lazio",1,"LAZIO"
"365","Economia Circolare","Lazio",7,"LAZIO"
"366","Ethics","Lazio",1,"LAZIO"
"367","Fake News","Lazio",0,"LAZIO"
"368","Flipped Classroom","Lazio",1,"LAZIO"
"369","Genealogia","Lazio",0,"LAZIO"
"370","Giustizia Riparativa","Lazio",1,"LAZIO"
"371","Giustizia Sociale","Lazio",1,"LAZIO"
"372","Green","Lazio",4,"LAZIO"
"373","Green Economy","Lazio",2,"LAZIO"
"374","Industrial Engineering","Lazio",0,"LAZIO"
"375","Internet Delle Cose","Lazio",1,"LAZIO"
"376","Internet Of Things","Lazio",3,"LAZIO"
"377","Machine Learning","Lazio",8,"LAZIO"
"378","Malattie Rare","Lazio",0,"LAZIO"
"379","Marketing Digitale","Lazio",1,"LAZIO"
"380","Mobilità Elettrica","Lazio",2,"LAZIO"
"381","Motori Elettrici","Lazio",0,"LAZIO"
"382","Nutraceutica","Lazio",2,"LAZIO"
"383","Obiettivi Di Sviluppo Sostenibile","Lazio",0,"LAZIO"
"384","Posture","Lazio",1,"LAZIO"
"385","Priority","Lazio",0,"LAZIO"
"386","Python","Lazio",0,"LAZIO"
"387","Rilevamento Topografico","Lazio",1,"LAZIO"
"388","Scalabilità","Lazio",0,"LAZIO"
"389","Scienze Delle Produzioni","Lazio",0,"LAZIO"
"390","Scienze Gastronomiche","Lazio",2,"LAZIO"
"391","Service Design","Lazio",2,"LAZIO"
"392","Servizi E Applicazioni","Lazio",1,"LAZIO"
"393","Soft Skills","Lazio",14,"LAZIO"
"394","Sustainability","Lazio",2,"LAZIO"
"395","Sustainable Development Goals","Lazio",1,"LAZIO"
"396","Tecnologie Ingegneristiche","Lazio",1,"LAZIO"
"397","Text Mining","Lazio",0,"LAZIO"
"398","Things","Lazio",1,"LAZIO"
"399","Trasformazione Digitale","Lazio",5,"LAZIO"
"400","Agricoltura Di Precisione","Liguria",0,"LIGURIA"
"401","Analisi Delle Serie Storiche","Liguria",0,"LIGURIA"
"402","Analytics","Liguria",0,"LIGURIA"
"403","Artificial Intelligence","Liguria",1,"LIGURIA"
"404","Big Data","Liguria",0,"LIGURIA"
"405","Bioeconomia","Liguria",0,"LIGURIA"
"406","Blockchain","Liguria",0,"LIGURIA"
"407","Building Information Modeling","Liguria",0,"LIGURIA"
"408","Business Analytics","Liguria",0,"LIGURIA"
"409","Clinical Practice","Liguria",0,"LIGURIA"
"410","Cloud","Liguria",0,"LIGURIA"
"411","Cloud Computing","Liguria",0,"LIGURIA"
"412","Competenze Digitali","Liguria",0,"LIGURIA"
"413","Cybersecurity","Liguria",0,"LIGURIA"
"414","Data Analytics","Liguria",0,"LIGURIA"
"415","Data Management","Liguria",0,"LIGURIA"
"416","Data Science","Liguria",1,"LIGURIA"
"417","Deep Learning","Liguria",0,"LIGURIA"
"418","Digital Humanities","Liguria",1,"LIGURIA"
"419","Digital Marketing","Liguria",1,"LIGURIA"
"420","Digital Transformation","Liguria",0,"LIGURIA"
"421","Diritto Della Proprietà Intellettuale","Liguria",0,"LIGURIA"
"422","Economia Circolare","Liguria",2,"LIGURIA"
"423","Ethics","Liguria",0,"LIGURIA"
"424","Fake News","Liguria",0,"LIGURIA"
"425","Flipped Classroom","Liguria",0,"LIGURIA"
"426","Genealogia","Liguria",0,"LIGURIA"
"427","Giustizia Riparativa","Liguria",0,"LIGURIA"
"428","Giustizia Sociale","Liguria",0,"LIGURIA"
"429","Green","Liguria",1,"LIGURIA"
"430","Green Economy","Liguria",1,"LIGURIA"
"431","Industrial Engineering","Liguria",0,"LIGURIA"
"432","Internet Delle Cose","Liguria",0,"LIGURIA"
"433","Internet Of Things","Liguria",1,"LIGURIA"
"434","Machine Learning","Liguria",0,"LIGURIA"
"435","Malattie Rare","Liguria",0,"LIGURIA"
"436","Marketing Digitale","Liguria",0,"LIGURIA"
"437","Mobilità Elettrica","Liguria",0,"LIGURIA"
"438","Motori Elettrici","Liguria",0,"LIGURIA"
"439","Nutraceutica","Liguria",0,"LIGURIA"
"440","Obiettivi Di Sviluppo Sostenibile","Liguria",1,"LIGURIA"
"441","Posture","Liguria",0,"LIGURIA"
"442","Priority","Liguria",0,"LIGURIA"
"443","Python","Liguria",1,"LIGURIA"
"444","Rilevamento Topografico","Liguria",0,"LIGURIA"
"445","Scalabilità","Liguria",0,"LIGURIA"
"446","Scienze Delle Produzioni","Liguria",0,"LIGURIA"
"447","Scienze Gastronomiche","Liguria",0,"LIGURIA"
"448","Service Design","Liguria",0,"LIGURIA"
"449","Servizi E Applicazioni","Liguria",0,"LIGURIA"
"450","Soft Skills","Liguria",1,"LIGURIA"
"451","Sustainability","Liguria",0,"LIGURIA"
"452","Sustainable Development Goals","Liguria",0,"LIGURIA"
"453","Tecnologie Ingegneristiche","Liguria",1,"LIGURIA"
"454","Text Mining","Liguria",0,"LIGURIA"
"455","Things","Liguria",0,"LIGURIA"
"456","Trasformazione Digitale","Liguria",0,"LIGURIA"
"457","Agricoltura Di Precisione","Lombardia",4,"LOMBARDIA"
"458","Analisi Delle Serie Storiche","Lombardia",1,"LOMBARDIA"
"459","Analytics","Lombardia",4,"LOMBARDIA"
"460","Artificial Intelligence","Lombardia",4,"LOMBARDIA"
"461","Big Data","Lombardia",18,"LOMBARDIA"
"462","Bioeconomia","Lombardia",4,"LOMBARDIA"
"463","Blockchain","Lombardia",2,"LOMBARDIA"
"464","Building Information Modeling","Lombardia",0,"LOMBARDIA"
"465","Business Analytics","Lombardia",2,"LOMBARDIA"
"466","Clinical Practice","Lombardia",1,"LOMBARDIA"
"467","Cloud","Lombardia",3,"LOMBARDIA"
"468","Cloud Computing","Lombardia",2,"LOMBARDIA"
"469","Competenze Digitali","Lombardia",3,"LOMBARDIA"
"470","Cybersecurity","Lombardia",3,"LOMBARDIA"
"471","Data Analytics","Lombardia",1,"LOMBARDIA"
"472","Data Management","Lombardia",1,"LOMBARDIA"
"473","Data Science","Lombardia",8,"LOMBARDIA"
"474","Deep Learning","Lombardia",3,"LOMBARDIA"
"475","Digital Humanities","Lombardia",4,"LOMBARDIA"
"476","Digital Marketing","Lombardia",5,"LOMBARDIA"
"477","Digital Transformation","Lombardia",1,"LOMBARDIA"
"478","Diritto Della Proprietà Intellettuale","Lombardia",1,"LOMBARDIA"
"479","Economia Circolare","Lombardia",7,"LOMBARDIA"
"480","Ethics","Lombardia",0,"LOMBARDIA"
"481","Fake News","Lombardia",1,"LOMBARDIA"
"482","Flipped Classroom","Lombardia",0,"LOMBARDIA"
"483","Genealogia","Lombardia",0,"LOMBARDIA"
"484","Giustizia Riparativa","Lombardia",2,"LOMBARDIA"
"485","Giustizia Sociale","Lombardia",0,"LOMBARDIA"
"486","Green","Lombardia",4,"LOMBARDIA"
"487","Green Economy","Lombardia",1,"LOMBARDIA"
"488","Industrial Engineering","Lombardia",4,"LOMBARDIA"
"489","Internet Delle Cose","Lombardia",3,"LOMBARDIA"
"490","Internet Of Things","Lombardia",4,"LOMBARDIA"
"491","Machine Learning","Lombardia",15,"LOMBARDIA"
"492","Malattie Rare","Lombardia",0,"LOMBARDIA"
"493","Marketing Digitale","Lombardia",1,"LOMBARDIA"
"494","Mobilità Elettrica","Lombardia",1,"LOMBARDIA"
"495","Motori Elettrici","Lombardia",0,"LOMBARDIA"
"496","Nutraceutica","Lombardia",2,"LOMBARDIA"
"497","Obiettivi Di Sviluppo Sostenibile","Lombardia",3,"LOMBARDIA"
"498","Posture","Lombardia",1,"LOMBARDIA"
"499","Priority","Lombardia",2,"LOMBARDIA"
"500","Python","Lombardia",1,"LOMBARDIA"
"501","Rilevamento Topografico","Lombardia",1,"LOMBARDIA"
"502","Scalabilità","Lombardia",1,"LOMBARDIA"
"503","Scienze Delle Produzioni","Lombardia",0,"LOMBARDIA"
"504","Scienze Gastronomiche","Lombardia",0,"LOMBARDIA"
"505","Service Design","Lombardia",0,"LOMBARDIA"
"506","Servizi E Applicazioni","Lombardia",0,"LOMBARDIA"
"507","Soft Skills","Lombardia",18,"LOMBARDIA"
"508","Sustainability","Lombardia",10,"LOMBARDIA"
"509","Sustainable Development Goals","Lombardia",1,"LOMBARDIA"
"510","Tecnologie Ingegneristiche","Lombardia",0,"LOMBARDIA"
"511","Text Mining","Lombardia",0,"LOMBARDIA"
"512","Things","Lombardia",1,"LOMBARDIA"
"513","Trasformazione Digitale","Lombardia",4,"LOMBARDIA"
"514","Agricoltura Di Precisione","Marche",1,"MARCHE"
"515","Analisi Delle Serie Storiche","Marche",1,"MARCHE"
"516","Analytics","Marche",1,"MARCHE"
"517","Artificial Intelligence","Marche",1,"MARCHE"
"518","Big Data","Marche",7,"MARCHE"
"519","Bioeconomia","Marche",0,"MARCHE"
"520","Blockchain","Marche",3,"MARCHE"
"521","Building Information Modeling","Marche",0,"MARCHE"
"522","Business Analytics","Marche",0,"MARCHE"
"523","Clinical Practice","Marche",2,"MARCHE"
"524","Cloud","Marche",3,"MARCHE"
"525","Cloud Computing","Marche",1,"MARCHE"
"526","Competenze Digitali","Marche",2,"MARCHE"
"527","Cybersecurity","Marche",2,"MARCHE"
"528","Data Analytics","Marche",2,"MARCHE"
"529","Data Management","Marche",1,"MARCHE"
"530","Data Science","Marche",2,"MARCHE"
"531","Deep Learning","Marche",0,"MARCHE"
"532","Digital Humanities","Marche",2,"MARCHE"
"533","Digital Marketing","Marche",0,"MARCHE"
"534","Digital Transformation","Marche",1,"MARCHE"
"535","Diritto Della Proprietà Intellettuale","Marche",0,"MARCHE"
"536","Economia Circolare","Marche",5,"MARCHE"
"537","Ethics","Marche",0,"MARCHE"
"538","Fake News","Marche",0,"MARCHE"
"539","Flipped Classroom","Marche",0,"MARCHE"
"540","Genealogia","Marche",0,"MARCHE"
"541","Giustizia Riparativa","Marche",0,"MARCHE"
"542","Giustizia Sociale","Marche",0,"MARCHE"
"543","Green","Marche",1,"MARCHE"
"544","Green Economy","Marche",2,"MARCHE"
"545","Industrial Engineering","Marche",2,"MARCHE"
"546","Internet Delle Cose","Marche",1,"MARCHE"
"547","Internet Of Things","Marche",2,"MARCHE"
"548","Machine Learning","Marche",4,"MARCHE"
"549","Malattie Rare","Marche",0,"MARCHE"
"550","Marketing Digitale","Marche",0,"MARCHE"
"551","Mobilità Elettrica","Marche",0,"MARCHE"
"552","Motori Elettrici","Marche",0,"MARCHE"
"553","Nutraceutica","Marche",0,"MARCHE"
"554","Obiettivi Di Sviluppo Sostenibile","Marche",0,"MARCHE"
"555","Posture","Marche",0,"MARCHE"
"556","Priority","Marche",0,"MARCHE"
"557","Python","Marche",0,"MARCHE"
"558","Rilevamento Topografico","Marche",0,"MARCHE"
"559","Scalabilità","Marche",1,"MARCHE"
"560","Scienze Delle Produzioni","Marche",1,"MARCHE"
"561","Scienze Gastronomiche","Marche",1,"MARCHE"
"562","Service Design","Marche",0,"MARCHE"
"563","Servizi E Applicazioni","Marche",0,"MARCHE"
"564","Soft Skills","Marche",4,"MARCHE"
"565","Sustainability","Marche",1,"MARCHE"
"566","Sustainable Development Goals","Marche",0,"MARCHE"
"567","Tecnologie Ingegneristiche","Marche",0,"MARCHE"
"568","Text Mining","Marche",0,"MARCHE"
"569","Things","Marche",0,"MARCHE"
"570","Trasformazione Digitale","Marche",3,"MARCHE"
"571","Agricoltura Di Precisione","Molise",0,"MOLISE"
"572","Analisi Delle Serie Storiche","Molise",0,"MOLISE"
"573","Analytics","Molise",0,"MOLISE"
"574","Artificial Intelligence","Molise",0,"MOLISE"
"575","Big Data","Molise",0,"MOLISE"
"576","Bioeconomia","Molise",0,"MOLISE"
"577","Blockchain","Molise",0,"MOLISE"
"578","Building Information Modeling","Molise",0,"MOLISE"
"579","Business Analytics","Molise",0,"MOLISE"
"580","Clinical Practice","Molise",0,"MOLISE"
"581","Cloud","Molise",0,"MOLISE"
"582","Cloud Computing","Molise",0,"MOLISE"
"583","Competenze Digitali","Molise",1,"MOLISE"
"584","Cybersecurity","Molise",0,"MOLISE"
"585","Data Analytics","Molise",0,"MOLISE"
"586","Data Management","Molise",0,"MOLISE"
"587","Data Science","Molise",0,"MOLISE"
"588","Deep Learning","Molise",0,"MOLISE"
"589","Digital Humanities","Molise",0,"MOLISE"
"590","Digital Marketing","Molise",0,"MOLISE"
"591","Digital Transformation","Molise",0,"MOLISE"
"592","Diritto Della Proprietà Intellettuale","Molise",0,"MOLISE"
"593","Economia Circolare","Molise",0,"MOLISE"
"594","Ethics","Molise",0,"MOLISE"
"595","Fake News","Molise",1,"MOLISE"
"596","Flipped Classroom","Molise",0,"MOLISE"
"597","Genealogia","Molise",0,"MOLISE"
"598","Giustizia Riparativa","Molise",0,"MOLISE"
"599","Giustizia Sociale","Molise",0,"MOLISE"
"600","Green","Molise",0,"MOLISE"
"601","Green Economy","Molise",1,"MOLISE"
"602","Industrial Engineering","Molise",0,"MOLISE"
"603","Internet Delle Cose","Molise",0,"MOLISE"
"604","Internet Of Things","Molise",0,"MOLISE"
"605","Machine Learning","Molise",0,"MOLISE"
"606","Malattie Rare","Molise",0,"MOLISE"
"607","Marketing Digitale","Molise",0,"MOLISE"
"608","Mobilità Elettrica","Molise",0,"MOLISE"
"609","Motori Elettrici","Molise",0,"MOLISE"
"610","Nutraceutica","Molise",0,"MOLISE"
"611","Obiettivi Di Sviluppo Sostenibile","Molise",0,"MOLISE"
"612","Posture","Molise",0,"MOLISE"
"613","Priority","Molise",0,"MOLISE"
"614","Python","Molise",0,"MOLISE"
"615","Rilevamento Topografico","Molise",0,"MOLISE"
"616","Scalabilità","Molise",0,"MOLISE"
"617","Scienze Delle Produzioni","Molise",0,"MOLISE"
"618","Scienze Gastronomiche","Molise",0,"MOLISE"
"619","Service Design","Molise",0,"MOLISE"
"620","Servizi E Applicazioni","Molise",0,"MOLISE"
"621","Soft Skills","Molise",0,"MOLISE"
"622","Sustainability","Molise",0,"MOLISE"
"623","Sustainable Development Goals","Molise",0,"MOLISE"
"624","Tecnologie Ingegneristiche","Molise",0,"MOLISE"
"625","Text Mining","Molise",0,"MOLISE"
"626","Things","Molise",0,"MOLISE"
"627","Trasformazione Digitale","Molise",0,"MOLISE"
"628","Agricoltura Di Precisione","Piemonte",1,"PIEMONTE"
"629","Analisi Delle Serie Storiche","Piemonte",0,"PIEMONTE"
"630","Analytics","Piemonte",0,"PIEMONTE"
"631","Artificial Intelligence","Piemonte",0,"PIEMONTE"
"632","Big Data","Piemonte",6,"PIEMONTE"
"633","Bioeconomia","Piemonte",1,"PIEMONTE"
"634","Blockchain","Piemonte",0,"PIEMONTE"
"635","Building Information Modeling","Piemonte",1,"PIEMONTE"
"636","Business Analytics","Piemonte",0,"PIEMONTE"
"637","Clinical Practice","Piemonte",0,"PIEMONTE"
"638","Cloud","Piemonte",1,"PIEMONTE"
"639","Cloud Computing","Piemonte",2,"PIEMONTE"
"640","Competenze Digitali","Piemonte",1,"PIEMONTE"
"641","Cybersecurity","Piemonte",2,"PIEMONTE"
"642","Data Analytics","Piemonte",3,"PIEMONTE"
"643","Data Management","Piemonte",0,"PIEMONTE"
"644","Data Science","Piemonte",4,"PIEMONTE"
"645","Deep Learning","Piemonte",2,"PIEMONTE"
"646","Digital Humanities","Piemonte",2,"PIEMONTE"
"647","Digital Marketing","Piemonte",0,"PIEMONTE"
"648","Digital Transformation","Piemonte",1,"PIEMONTE"
"649","Diritto Della Proprietà Intellettuale","Piemonte",0,"PIEMONTE"
"650","Economia Circolare","Piemonte",5,"PIEMONTE"
"651","Ethics","Piemonte",0,"PIEMONTE"
"652","Fake News","Piemonte",0,"PIEMONTE"
"653","Flipped Classroom","Piemonte",0,"PIEMONTE"
"654","Genealogia","Piemonte",0,"PIEMONTE"
"655","Giustizia Riparativa","Piemonte",0,"PIEMONTE"
"656","Giustizia Sociale","Piemonte",0,"PIEMONTE"
"657","Green","Piemonte",1,"PIEMONTE"
"658","Green Economy","Piemonte",1,"PIEMONTE"
"659","Industrial Engineering","Piemonte",0,"PIEMONTE"
"660","Internet Delle Cose","Piemonte",0,"PIEMONTE"
"661","Internet Of Things","Piemonte",2,"PIEMONTE"
"662","Machine Learning","Piemonte",6,"PIEMONTE"
"663","Malattie Rare","Piemonte",0,"PIEMONTE"
"664","Marketing Digitale","Piemonte",0,"PIEMONTE"
"665","Mobilità Elettrica","Piemonte",1,"PIEMONTE"
"666","Motori Elettrici","Piemonte",2,"PIEMONTE"
"667","Nutraceutica","Piemonte",0,"PIEMONTE"
"668","Obiettivi Di Sviluppo Sostenibile","Piemonte",0,"PIEMONTE"
"669","Posture","Piemonte",0,"PIEMONTE"
"670","Priority","Piemonte",0,"PIEMONTE"
"671","Python","Piemonte",0,"PIEMONTE"
"672","Rilevamento Topografico","Piemonte",0,"PIEMONTE"
"673","Scalabilità","Piemonte",0,"PIEMONTE"
"674","Scienze Delle Produzioni","Piemonte",0,"PIEMONTE"
"675","Scienze Gastronomiche","Piemonte",0,"PIEMONTE"
"676","Service Design","Piemonte",0,"PIEMONTE"
"677","Servizi E Applicazioni","Piemonte",0,"PIEMONTE"
"678","Soft Skills","Piemonte",7,"PIEMONTE"
"679","Sustainability","Piemonte",1,"PIEMONTE"
"680","Sustainable Development Goals","Piemonte",2,"PIEMONTE"
"681","Tecnologie Ingegneristiche","Piemonte",0,"PIEMONTE"
"682","Text Mining","Piemonte",0,"PIEMONTE"
"683","Things","Piemonte",3,"PIEMONTE"
"684","Trasformazione Digitale","Piemonte",2,"PIEMONTE"
"685","Agricoltura Di Precisione","Puglia",1,"PUGLIA"
"686","Analisi Delle Serie Storiche","Puglia",0,"PUGLIA"
"687","Analytics","Puglia",1,"PUGLIA"
"688","Artificial Intelligence","Puglia",3,"PUGLIA"
"689","Big Data","Puglia",13,"PUGLIA"
"690","Bioeconomia","Puglia",4,"PUGLIA"
"691","Blockchain","Puglia",1,"PUGLIA"
"692","Building Information Modeling","Puglia",0,"PUGLIA"
"693","Business Analytics","Puglia",2,"PUGLIA"
"694","Clinical Practice","Puglia",0,"PUGLIA"
"695","Cloud","Puglia",2,"PUGLIA"
"696","Cloud Computing","Puglia",0,"PUGLIA"
"697","Competenze Digitali","Puglia",3,"PUGLIA"
"698","Cybersecurity","Puglia",1,"PUGLIA"
"699","Data Analytics","Puglia",2,"PUGLIA"
"700","Data Management","Puglia",1,"PUGLIA"
"701","Data Science","Puglia",6,"PUGLIA"
"702","Deep Learning","Puglia",0,"PUGLIA"
"703","Digital Humanities","Puglia",1,"PUGLIA"
"704","Digital Marketing","Puglia",2,"PUGLIA"
"705","Digital Transformation","Puglia",1,"PUGLIA"
"706","Diritto Della Proprietà Intellettuale","Puglia",0,"PUGLIA"
"707","Economia Circolare","Puglia",7,"PUGLIA"
"708","Ethics","Puglia",0,"PUGLIA"
"709","Fake News","Puglia",0,"PUGLIA"
"710","Flipped Classroom","Puglia",0,"PUGLIA"
"711","Genealogia","Puglia",0,"PUGLIA"
"712","Giustizia Riparativa","Puglia",0,"PUGLIA"
"713","Giustizia Sociale","Puglia",1,"PUGLIA"
"714","Green","Puglia",7,"PUGLIA"
"715","Green Economy","Puglia",0,"PUGLIA"
"716","Industrial Engineering","Puglia",0,"PUGLIA"
"717","Internet Delle Cose","Puglia",1,"PUGLIA"
"718","Internet Of Things","Puglia",2,"PUGLIA"
"719","Machine Learning","Puglia",8,"PUGLIA"
"720","Malattie Rare","Puglia",1,"PUGLIA"
"721","Marketing Digitale","Puglia",2,"PUGLIA"
"722","Mobilità Elettrica","Puglia",1,"PUGLIA"
"723","Motori Elettrici","Puglia",0,"PUGLIA"
"724","Nutraceutica","Puglia",3,"PUGLIA"
"725","Obiettivi Di Sviluppo Sostenibile","Puglia",0,"PUGLIA"
"726","Posture","Puglia",0,"PUGLIA"
"727","Priority","Puglia",1,"PUGLIA"
"728","Python","Puglia",0,"PUGLIA"
"729","Rilevamento Topografico","Puglia",0,"PUGLIA"
"730","Scalabilità","Puglia",0,"PUGLIA"
"731","Scienze Delle Produzioni","Puglia",0,"PUGLIA"
"732","Scienze Gastronomiche","Puglia",0,"PUGLIA"
"733","Service Design","Puglia",0,"PUGLIA"
"734","Servizi E Applicazioni","Puglia",0,"PUGLIA"
"735","Soft Skills","Puglia",3,"PUGLIA"
"736","Sustainability","Puglia",2,"PUGLIA"
"737","Sustainable Development Goals","Puglia",1,"PUGLIA"
"738","Tecnologie Ingegneristiche","Puglia",0,"PUGLIA"
"739","Text Mining","Puglia",0,"PUGLIA"
"740","Things","Puglia",2,"PUGLIA"
"741","Trasformazione Digitale","Puglia",3,"PUGLIA"
"742","Agricoltura Di Precisione","Sardegna",0,"SARDEGNA"
"743","Analisi Delle Serie Storiche","Sardegna",0,"SARDEGNA"
"744","Analytics","Sardegna",0,"SARDEGNA"
"745","Artificial Intelligence","Sardegna",1,"SARDEGNA"
"746","Big Data","Sardegna",2,"SARDEGNA"
"747","Bioeconomia","Sardegna",0,"SARDEGNA"
"748","Blockchain","Sardegna",0,"SARDEGNA"
"749","Building Information Modeling","Sardegna",0,"SARDEGNA"
"750","Business Analytics","Sardegna",1,"SARDEGNA"
"751","Clinical Practice","Sardegna",0,"SARDEGNA"
"752","Cloud","Sardegna",3,"SARDEGNA"
"753","Cloud Computing","Sardegna",1,"SARDEGNA"
"754","Competenze Digitali","Sardegna",0,"SARDEGNA"
"755","Cybersecurity","Sardegna",2,"SARDEGNA"
"756","Data Analytics","Sardegna",1,"SARDEGNA"
"757","Data Management","Sardegna",0,"SARDEGNA"
"758","Data Science","Sardegna",1,"SARDEGNA"
"759","Deep Learning","Sardegna",0,"SARDEGNA"
"760","Digital Humanities","Sardegna",0,"SARDEGNA"
"761","Digital Marketing","Sardegna",1,"SARDEGNA"
"762","Digital Transformation","Sardegna",0,"SARDEGNA"
"763","Diritto Della Proprietà Intellettuale","Sardegna",0,"SARDEGNA"
"764","Economia Circolare","Sardegna",1,"SARDEGNA"
"765","Ethics","Sardegna",0,"SARDEGNA"
"766","Fake News","Sardegna",1,"SARDEGNA"
"767","Flipped Classroom","Sardegna",0,"SARDEGNA"
"768","Genealogia","Sardegna",0,"SARDEGNA"
